Familia - Family,Departamento - Department,Grupo - Group,Subgrupo - Subgroup,Item,Item Descrip.,ST 12s,ST_REAL,Classificação Geral -  Classification ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,Estrategico - Strategic,VND TT 12s,Projetado - Projected,Estoque QTD Inicial Initial Stock Qty,Recebimento Total  Total Recieved,Fornecedor - Supplier,Preço Original - Original Price,Preço Vigente - Actual Price,Idade de Estoque - Days in Stock,Idade Ajustada - Days in Stock (adjusted),Cash Margem Mês - Monthly Cash Margin,Venda R$ Mês - Montly Sales in R$,R$ Estoque - Stock in R$,Estoque QTD - Stock Qty,Venda QTD Total - Total Sales Qty,Cash Margem Total - Total Cash Margin,Pri. Recebimento - Day when 1st recieved,Pri Dia VND Ajustado - 1st  Day of Sales (adjusted),Qtd Lojas C/ Item Meio Pack - Num. of Stores w/ half pack,Qtd Lojas C/ Item - Num. of Stores w/ the item,Carteira Valor - Order Value,Carteira QTD - Order Qty,Qtd de pedidos - Num. of Orders,Remarcado - Remarked,MV Total - Total Sales Margin,ANO_MÊS - Year_month,Recebimento Custo - Shipping Cost,Recebimento R$ - Amout (R$) Recieved ,Custo Unit. -Cost per unit,MV Entrada - Entry Sales Margin
04 Infantil,JUVENIL MENINA,JEANS,SHORT JEANS,271445,SHORT JEANS ESC AV19,"69,80%","69,80%",Good,"6,30%","10,90%","12,10%","24,70%","6,50%","1,30%","1,40%","1,80%","1,30%","1,00%","1,50%","1,00%",Não Estratégico,698,N,977,1000,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,185,174,226,1348,5959,149,842,28806,16/11/2023,2023-11-27 00:00:00,8,46,,,1,S,0.509006061529214,202311,33000,69990,33,0.528504072010287
04 Infantil,JUVENIL MENINA,JEANS,SHORT JEANS,271447,SHORT JEANS MED AV19,"61,40%","61,40%",Good,"23,80%","11,10%","3,90%","3,60%","3,30%","2,50%","2,80%","3,00%","2,00%","1,40%","2,20%","1,80%",Não Estratégico,614,N,885,1000,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,160,153,306,1923,7879,197,793,26055,11/12/2023,2023-12-18 00:00:00,11,50,,,1,S,0.498905477361994,202312,33000,69990,33,0.528504072010287
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271448,BERMUDA JEANS MEDIO,"56,85%","56,85%",Good,"24,10%","10,55%","3,25%","2,70%","1,40%","2,30%","2,50%","2,55%","1,85%","1,65%","1,95%","2,05%",Não Estratégico,1137,N,1861,2000,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,160,153,1457,6613,15877,397,1595,54256,11/12/2023,2023-12-18 00:00:00,28,50,,,1,S,0.525698610482108,202312,61380,139980,30.69,0.561508786969567
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271449,BERMUDA JEANS AV1961,"85,40%","85,40%",Best,"27,40%","46,45%","4,25%","0,85%","1,75%","0,80%","0,95%","0,75%","0,75%","0,65%","0,45%","0,35%",Não Estratégico,1708,N,1830,2000,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,172,160,407,815,6999,100,1883,65526,29/11/2023,2023-12-11 00:00:00,3,41,,,1,N,0.505802280463651,202311,68000,139980,34,0.51421631661666
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271450,BERMUDA JEANS PTO C/,"43,20%","43,20%",Slow,"3,90%","5,45%","4,05%","3,80%","4,10%","4,85%","3,00%","3,50%","2,90%","3,15%","2,40%","2,10%",Não Estratégico,864,N,1962,2000,G M D INDUSTRIA TEXTIL EIRELI,79.99,79.99,122,111,6013,11089,73431,918,1077,45356,18/01/2024,2024-01-29 00:00:00,69,131,,,1,N,0.539129259550747,202401,72000,159980,36,0.549943742967871
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271451,BERMUDA JEANS CLARO,"62,20%","62,20%",Good,"25,20%","16,00%","2,70%","4,20%","1,70%","2,10%","1,30%","1,60%","1,80%","1,10%","2,40%","2,10%",Não Estratégico,622,N,913,1000,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,160,153,382,1982,8318,208,788,26993,11/12/2023,2023-12-18 00:00:00,16,36,,,1,S,0.51701018270331,202312,32000,69990,32,0.542791827403915
10 Acessorios Av,LINGERIE,SENSUAL,SUTIA SENSUAL,271452,SUT CROPPED CETIM PT,"51,50%","51,50%",Slow,"6,42%","6,92%","7,25%","5,08%","5,75%","3,08%","3,75%","3,00%","2,00%","2,67%","2,67%","2,92%",Não Estratégico,618,N,1130,1200,BUNDYS,39.99,39.99,104,90,1570,2976,20995,525,682,14057,05/02/2024,2024-02-19 00:00:00,34,73,,,1,N,0.526979631668707,202402,22200,47988,18.5,0.537384346086522
10 Acessorios Av,LINGERIE,SENSUAL,SUTIA SENSUAL,271453,SUT BASE PTO/DOUR BO,"68,67%","68,67%",Good,"6,33%","9,50%","7,83%","8,50%","7,17%","6,83%","7,00%","4,83%","3,83%","3,50%","1,83%","1,50%",Não Estratégico,412,N,570,600,BUNDYS,35.99,35.99,110,104,655,1249,5219,145,455,8457,30/01/2024,2024-02-05 00:00:00,8,32,,,1,N,0.529726956620874,202401,9900,21594,16.5,0.541539316476799
10 Acessorios Av,LINGERIE,SENSUAL,SUTIA SENSUAL,271454,SUT CROPPED S BJ C A,"39,83%","39,83%",Slow,"4,33%","6,00%","5,50%","4,00%","4,50%","4,17%","3,33%","1,67%","0,50%","1,83%","2,00%","2,00%",Não Estratégico,239,N,591,600,BUNDYS,39.99,39.99,124,111,658,1239,12317,308,289,5975,16/01/2024,2024-01-29 00:00:00,19,38,,,1,N,0.532769876521632,202401,10878,23994,18.13,0.546636659164791
10 Acessorios Av,LINGERIE,SENSUAL,CALCINHA SENSUAL,271455,CALC FIO PTO/DOUR BO,"73,83%","73,83%",Good,"14,33%","15,50%","9,17%","8,33%","6,17%","3,67%","3,17%","2,83%","3,17%","3,67%","2,17%","1,67%",Não Estratégico,443,N,543,600,BUNDYS,15.99,15.99,107,97,261,480,1584,99,495,4127,02/02/2024,2024-02-12 00:00:00,2,33,,,1,N,0.541454978691243,202402,4236,9594,7.06,0.558474046278924
